Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9255
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),25.37
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,25.00
60.00,24.99
90.00,24.98
120.00,24.99
150.00,24.99
180.00,25.01
210.00,25.00
240.00,24.98
270.00,24.99
300.00,24.98
330.00,25.35
360.00,25.81
390.00,26.21
420.00,26.39
450.00,26.54
480.00,26.61
510.00,26.63
540.00,26.67
570.00,26.65
600.00,26.66
630.00,26.67
660.00,26.66
690.00,26.68
720.00,26.68
750.00,26.68
780.00,26.67
810.00,26.65
840.00,26.64
870.00,26.67
900.00,26.67
930.00,26.66
960.00,26.66
